Data;item;v0;v1
2016-04-01 00:00:00.000;12941;34.08;34.08
2016-04-01 00:30:00.000;12941;34.24;34.24
2016-04-01 01:00:00.000;12941;34.16;34.16
2016-04-01 01:30:00.000;12941;33.68;33.68
2016-04-01 02:00:00.000;12941;33.76;33.76
2016-04-01 02:30:00.000;12941;33.84;33.84
2016-04-01 03:00:00.000;12941;33.92;33.92
2016-04-01 03:30:00.000;12941;33.84;33.84
2016-04-01 04:00:00.000;12941;34;34
2016-04-01 04:30:00.000;12941;33.84;33.84
2016-04-01 05:00:00.000;12941;33.84;33.84
2016-04-01 05:30:00.000;12941;33.28;33.28
2016-04-01 06:00:00.000;12941;33.12;33.12
2016-04-01 06:30:00.000;12941;32.64;32.64
2016-04-01 07:00:00.000;12941;32.08;32.08
2016-04-01 07:30:00.000;12941;33.04;33.04
2016-04-01 08:00:00.000;12941;33.12;33.12
2016-04-01 08:30:00.000;12941;33.84;33.84
2016-04-01 09:00:00.000;12941;33.6;33.6
2016-04-01 09:30:00.000;12941;33.6;33.6
2016-04-01 10:00:00.000;12941;33.44;33.44
2016-04-01 10:30:00.000;12941;33.36;33.36
2016-04-01 11:00:00.000;12941;33.44;33.44
2016-04-01 11:30:00.000;12941;33.76;33.76
2016-04-01 12:00:00.000;12941;33.68;33.68
2016-04-01 12:30:00.000;12941;33.84;33.84
2016-04-01 13:00:00.000;12941;34.16;34.16
2016-04-01 13:30:00.000;12941;34.8;34.8
2016-04-01 14:00:00.000;12941;34.96;34.96
2016-04-01 14:30:00.000;12941;34.8;34.8
2016-04-01 15:00:00.000;12941;34.96;34.96
2016-04-01 15:30:00.000;12941;35.12;35.12
2016-04-01 16:00:00.000;12941;35.28;35.28
2016-04-01 16:30:00.000;12941;35.28;35.28
2016-04-01 17:00:00.000;12941;35.44;35.44
2016-04-01 17:30:00.000;12941;34.4;34.4
2016-04-01 18:00:00.000;12941;34.48;34.48
2016-04-01 18:30:00.000;12941;34.4;34.4
2016-04-01 19:00:00.000;12941;34.64;34.64
2016-04-01 19:30:00.000;12941;34.72;34.72
2016-04-01 20:00:00.000;12941;34.88;34.88
2016-04-01 20:30:00.000;12941;35.04;35.04
2016-04-01 21:00:00.000;12941;35.12;35.12
2016-04-01 21:30:00.000;12941;35.28;35.28
2016-04-01 22:00:00.000;12941;35.44;35.44
2016-04-01 22:30:00.000;12941;34.64;34.64
2016-04-01 23:00:00.000;12941;34.88;34.88
2016-04-01 23:30:00.000;12941;34;34
2016-04-02 00:00:00.000;12941;32.88;32.88
2016-04-02 00:30:00.000;12941;33.04;33.04
2016-04-02 01:00:00.000;12941;33.2;33.2
2016-04-02 01:30:00.000;12941;33.2;33.2
2016-04-02 02:00:00.000;12941;33.12;33.12
2016-04-02 02:30:00.000;12941;33.28;33.28
2016-04-02 03:00:00.000;12941;33.28;33.28
2016-04-02 03:30:00.000;12941;33.28;33.28
2016-04-02 04:00:00.000;12941;33.2;33.2
2016-04-02 04:30:00.000;12941;33.36;33.36
2016-04-02 05:00:00.000;12941;33.2;33.2
2016-04-02 05:30:00.000;12941;32.88;32.88
2016-04-02 06:00:00.000;12941;32.8;32.8
2016-04-02 06:30:00.000;12941;32.72;32.72
2016-04-02 07:00:00.000;12941;32.48;32.48
2016-04-02 07:30:00.000;12941;33.2;33.2
2016-04-02 08:00:00.000;12941;33.6;33.6
2016-04-02 08:30:00.000;12941;33.28;33.28
2016-04-02 09:00:00.000;12941;33.12;33.12
2016-04-02 09:30:00.000;12941;32.88;32.88
2016-04-02 10:00:00.000;12941;33.52;33.52
2016-04-02 10:30:00.000;12941;33.68;33.68
2016-04-02 11:00:00.000;12941;33.76;33.76
2016-04-02 11:30:00.000;12941;33.76;33.76
2016-04-02 12:00:00.000;12941;33.68;33.68
2016-04-02 12:30:00.000;12941;33.84;33.84
2016-04-02 13:00:00.000;12941;33.76;33.76
2016-04-02 13:30:00.000;12941;33.76;33.76
2016-04-02 14:00:00.000;12941;33.68;33.68
2016-04-02 14:30:00.000;12941;33.92;33.92
2016-04-02 15:00:00.000;12941;34;34
2016-04-02 15:30:00.000;12941;33.92;33.92
2016-04-02 16:00:00.000;12941;34.16;34.16
2016-04-02 16:30:00.000;12941;34.08;34.08
2016-04-02 17:00:00.000;12941;34.16;34.16
2016-04-02 17:30:00.000;12941;34.08;34.08
2016-04-02 18:00:00.000;12941;33.84;33.84
2016-04-02 18:30:00.000;12941;34.08;34.08
2016-04-02 19:00:00.000;12941;34.08;34.08
2016-04-02 19:30:00.000;12941;34.08;34.08
2016-04-02 20:00:00.000;12941;34.16;34.16
2016-04-02 20:30:00.000;12941;34.16;34.16
2016-04-02 21:00:00.000;12941;34.24;34.24
2016-04-02 21:30:00.000;12941;34.4;34.4
2016-04-02 22:00:00.000;12941;34.4;34.4
2016-04-02 22:30:00.000;12941;34.72;34.72
2016-04-02 23:00:00.000;12941;34.72;34.72
2016-04-02 23:30:00.000;12941;33.44;33.44
2016-04-03 00:00:00.000;12941;33.36;33.36
2016-04-03 00:30:00.000;12941;33.44;33.44
2016-04-03 01:00:00.000;12941;33.52;33.52
2016-04-03 01:30:00.000;12941;33.52;33.52
2016-04-03 02:00:00.000;12941;32.88;32.88
2016-04-03 02:30:00.000;12941;33.04;33.04
2016-04-03 03:00:00.000;12941;33.2;33.2
2016-04-03 03:30:00.000;12941;33.2;33.2
2016-04-03 04:00:00.000;12941;33.36;33.36
2016-04-03 04:30:00.000;12941;33.36;33.36
2016-04-03 05:00:00.000;12941;33.2;33.2
2016-04-03 05:30:00.000;12941;32.72;32.72
2016-04-03 06:00:00.000;12941;32.64;32.64
2016-04-03 06:30:00.000;12941;32.56;32.56
2016-04-03 07:00:00.000;12941;32.4;32.4
2016-04-03 07:30:00.000;12941;32.96;32.96
2016-04-03 08:00:00.000;12941;33.36;33.36
2016-04-03 08:30:00.000;12941;33.76;33.76
2016-04-03 09:00:00.000;12941;33.52;33.52
2016-04-03 09:30:00.000;12941;33.28;33.28
2016-04-03 10:00:00.000;12941;33.12;33.12
