Data;item;v0;v1
2014-04-01 00:00:00.000;12941;39.92;39.92
2014-04-01 00:30:00.000;12941;36.4;36.4
2014-04-01 01:00:00.000;12941;36.56;36.56
2014-04-01 01:30:00.000;12941;36.72;36.72
2014-04-01 02:00:00.000;12941;36;36
2014-04-01 02:30:00.000;12941;35.92;35.92
2014-04-01 03:00:00.000;12941;36.08;36.08
2014-04-01 03:30:00.000;12941;35.84;35.84
2014-04-01 04:00:00.000;12941;36;36
2014-04-01 04:30:00.000;12941;36;36
2014-04-01 05:00:00.000;12941;35.92;35.92
2014-04-01 05:30:00.000;12941;35.84;35.84
2014-04-01 06:00:00.000;12941;35.6;35.6
2014-04-01 06:30:00.000;12941;35.84;35.84
2014-04-01 07:00:00.000;12941;35.76;35.76
2014-04-01 07:30:00.000;12941;36.48;36.48
2014-04-01 08:00:00.000;12941;37.6;37.6
2014-04-01 08:30:00.000;12941;37.12;37.12
2014-04-01 09:00:00.000;12941;37.2;37.2
2014-04-01 09:30:00.000;12941;36.8;36.8
2014-04-01 10:00:00.000;12941;36.64;36.64
2014-04-01 10:30:00.000;12941;36.8;36.8
2014-04-01 11:00:00.000;12941;36.64;36.64
2014-04-01 11:30:00.000;12941;36.96;36.96
2014-04-01 12:00:00.000;12941;37.2;37.2
2014-04-01 12:30:00.000;12941;37.12;37.12
2014-04-01 13:00:00.000;12941;37.2;37.2
2014-04-01 13:30:00.000;12941;52.72;52.72
2014-04-01 14:00:00.000;12941;53.84;53.84
2014-04-01 14:30:00.000;12941;53.84;53.84
2014-04-01 15:00:00.000;12941;54;54
2014-04-01 15:30:00.000;12941;54.16;54.16
2014-04-01 16:00:00.000;12941;49.04;49.04
2014-04-01 16:30:00.000;12941;37.52;37.52
2014-04-01 17:00:00.000;12941;37.76;37.76
2014-04-01 17:30:00.000;12941;37.68;37.68
2014-04-01 18:00:00.000;12941;37.76;37.76
2014-04-01 18:30:00.000;12941;37.76;37.76
2014-04-01 19:00:00.000;12941;37.52;37.52
2014-04-01 19:30:00.000;12941;49.52;49.52
2014-04-01 20:00:00.000;12941;54.32;54.32
2014-04-01 20:30:00.000;12941;54.16;54.16
2014-04-01 21:00:00.000;12941;54.24;54.24
2014-04-01 21:30:00.000;12941;54.48;54.48
2014-04-01 22:00:00.000;12941;54.72;54.72
2014-04-01 22:30:00.000;12941;54.24;54.24
2014-04-01 23:00:00.000;12941;54.72;54.72
2014-04-01 23:30:00.000;12941;54.4;54.4
2014-04-02 00:00:00.000;12941;37.2;37.2
2014-04-02 00:30:00.000;12941;36.24;36.24
2014-04-02 01:00:00.000;12941;36.48;36.48
2014-04-02 01:30:00.000;12941;36.48;36.48
2014-04-02 02:00:00.000;12941;36.32;36.32
2014-04-02 02:30:00.000;12941;36.4;36.4
2014-04-02 03:00:00.000;12941;36.4;36.4
2014-04-02 03:30:00.000;12941;36;36
2014-04-02 04:00:00.000;12941;36.08;36.08
2014-04-02 04:30:00.000;12941;36;36
2014-04-02 05:00:00.000;12941;35.76;35.76
2014-04-02 05:30:00.000;12941;35.92;35.92
2014-04-02 06:00:00.000;12941;35.52;35.52
2014-04-02 06:30:00.000;12941;35.6;35.6
2014-04-02 07:00:00.000;12941;36;36
2014-04-02 07:30:00.000;12941;36.32;36.32
2014-04-02 08:00:00.000;12941;36.72;36.72
2014-04-02 08:30:00.000;12941;37.12;37.12
2014-04-02 09:00:00.000;12941;36.72;36.72
2014-04-02 09:30:00.000;12941;36.32;36.32
2014-04-02 10:00:00.000;12941;36.48;36.48
2014-04-02 10:30:00.000;12941;36.56;36.56
2014-04-02 11:00:00.000;12941;36.56;36.56
2014-04-02 11:30:00.000;12941;36.64;36.64
2014-04-02 12:00:00.000;12941;36.56;36.56
2014-04-02 12:30:00.000;12941;35.84;35.84
2014-04-02 13:00:00.000;12941;35.92;35.92
2014-04-02 13:30:00.000;12941;51.28;51.28
2014-04-02 14:00:00.000;12941;53.12;53.12
2014-04-02 14:30:00.000;12941;53.36;53.36
2014-04-02 15:00:00.000;12941;53.36;53.36
2014-04-02 15:30:00.000;12941;53.28;53.28
2014-04-02 16:00:00.000;12941;45.12;45.12
2014-04-02 16:30:00.000;12941;36.8;36.8
2014-04-02 17:00:00.000;12941;36.96;36.96
2014-04-02 17:30:00.000;12941;37.12;37.12
2014-04-02 18:00:00.000;12941;37.12;37.12
2014-04-02 18:30:00.000;12941;37.04;37.04
2014-04-02 19:00:00.000;12941;36.72;36.72
2014-04-02 19:30:00.000;12941;49.28;49.28
2014-04-02 20:00:00.000;12941;53.6;53.6
2014-04-02 20:30:00.000;12941;53.76;53.76
2014-04-02 21:00:00.000;12941;53.68;53.68
2014-04-02 21:30:00.000;12941;53.92;53.92
2014-04-02 22:00:00.000;12941;53.76;53.76
2014-04-02 22:30:00.000;12941;53.28;53.28
2014-04-02 23:00:00.000;12941;53.28;53.28
2014-04-02 23:30:00.000;12941;53.6;53.6
2014-04-03 00:00:00.000;12941;38.32;38.32
2014-04-03 00:30:00.000;12941;35.44;35.44
2014-04-03 01:00:00.000;12941;35.52;35.52
2014-04-03 01:30:00.000;12941;35.6;35.6
2014-04-03 02:00:00.000;12941;35.76;35.76
2014-04-03 02:30:00.000;12941;35.92;35.92
2014-04-03 03:00:00.000;12941;35.84;35.84
2014-04-03 03:30:00.000;12941;35.76;35.76
2014-04-03 04:00:00.000;12941;35.76;35.76
2014-04-03 04:30:00.000;12941;35.68;35.68
2014-04-03 05:00:00.000;12941;35.84;35.84
2014-04-03 05:30:00.000;12941;35.6;35.6
2014-04-03 06:00:00.000;12941;35.76;35.76
2014-04-03 06:30:00.000;12941;35.76;35.76
2014-04-03 07:00:00.000;12941;35.28;35.28
2014-04-03 07:30:00.000;12941;35.36;35.36
2014-04-03 08:00:00.000;12941;35.92;35.92
2014-04-03 08:30:00.000;12941;36.24;36.24
2014-04-03 09:00:00.000;12941;36.8;36.8
2014-04-03 09:30:00.000;12941;36.8;36.8
2014-04-03 10:00:00.000;12941;36.64;36.64
2014-04-03 10:30:00.000;12941;36.64;36.64
2014-04-03 11:00:00.000;12941;36.96;36.96
2014-04-03 11:30:00.000;12941;36.96;36.96
2014-04-03 12:00:00.000;12941;37.36;37.36
2014-04-03 12:30:00.000;12941;49.2;49.2
2014-04-03 13:00:00.000;12941;54.08;54.08
2014-04-03 13:30:00.000;12941;53.76;53.76
2014-04-03 14:00:00.000;12941;53.76;53.76
2014-04-03 14:30:00.000;12941;53.84;53.84
2014-04-03 15:00:00.000;12941;53.92;53.92
2014-04-03 15:30:00.000;12941;40.24;40.24
2014-04-03 16:00:00.000;12941;37.04;37.04
2014-04-03 16:30:00.000;12941;37.44;37.44
2014-04-03 17:00:00.000;12941;37.12;37.12
2014-04-03 17:30:00.000;12941;35.92;35.92
2014-04-03 18:00:00.000;12941;36.32;36.32
2014-04-03 18:30:00.000;12941;39.2;39.2
2014-04-03 19:00:00.000;12941;53.04;53.04
2014-04-03 19:30:00.000;12941;52.8;52.8
2014-04-03 20:00:00.000;12941;52.96;52.96
2014-04-03 20:30:00.000;12941;53.2;53.2
2014-04-03 21:00:00.000;12941;53.6;53.6
2014-04-03 21:30:00.000;12941;53.84;53.84
2014-04-03 22:00:00.000;12941;53.92;53.92
2014-04-03 22:30:00.000;12941;53.76;53.76
2014-04-03 23:00:00.000;12941;54;54
2014-04-03 23:30:00.000;12941;53.52;53.52
2014-04-04 00:00:00.000;12941;43.28;43.28
2014-04-04 00:30:00.000;12941;36;36
2014-04-04 01:00:00.000;12941;36.32;36.32
2014-04-04 01:30:00.000;12941;35.92;35.92
2014-04-04 02:00:00.000;12941;35.6;35.6
2014-04-04 02:30:00.000;12941;35.68;35.68
2014-04-04 03:00:00.000;12941;35.6;35.6
2014-04-04 03:30:00.000;12941;35.6;35.6
2014-04-04 04:00:00.000;12941;35.6;35.6
2014-04-04 04:30:00.000;12941;35.52;35.52
2014-04-04 05:00:00.000;12941;35.52;35.52
2014-04-04 05:30:00.000;12941;35.6;35.6
2014-04-04 06:00:00.000;12941;35.36;35.36
2014-04-04 06:30:00.000;12941;35.28;35.28
2014-04-04 07:00:00.000;12941;35.76;35.76
2014-04-04 07:30:00.000;12941;35.6;35.6
2014-04-04 08:00:00.000;12941;37.28;37.28
2014-04-04 08:30:00.000;12941;36.96;36.96
2014-04-04 09:00:00.000;12941;37.12;37.12
2014-04-04 09:30:00.000;12941;37.04;37.04
2014-04-04 10:00:00.000;12941;37.12;37.12
2014-04-04 10:30:00.000;12941;37.04;37.04
2014-04-04 11:00:00.000;12941;46.48;46.48
2014-04-04 11:30:00.000;12941;54.16;54.16
2014-04-04 12:00:00.000;12941;54.08;54.08
2014-04-04 12:30:00.000;12941;54.32;54.32
2014-04-04 13:00:00.000;12941;54.32;54.32
2014-04-04 13:30:00.000;12941;53.36;53.36
2014-04-04 14:00:00.000;12941;53.2;53.2
2014-04-04 14:30:00.000;12941;49.12;49.12
2014-04-04 15:00:00.000;12941;36.24;36.24
2014-04-04 15:30:00.000;12941;36.32;36.32
2014-04-04 16:00:00.000;12941;36.48;36.48
2014-04-04 16:30:00.000;12941;37.44;37.44
2014-04-04 17:00:00.000;12941;36.64;36.64
2014-04-04 17:30:00.000;12941;38.24;38.24
2014-04-04 18:00:00.000;12941;53.6;53.6
2014-04-04 18:30:00.000;12941;53.44;53.44
2014-04-04 19:00:00.000;12941;53.6;53.6
2014-04-04 19:30:00.000;12941;53.44;53.44
2014-04-04 20:00:00.000;12941;52.96;52.96
2014-04-04 20:30:00.000;12941;53.12;53.12
2014-04-04 21:00:00.000;12941;53.6;53.6
2014-04-04 21:30:00.000;12941;54.16;54.16
2014-04-04 22:00:00.000;12941;53.44;53.44
2014-04-04 22:30:00.000;12941;53.36;53.36
2014-04-04 23:00:00.000;12941;53.52;53.52
2014-04-04 23:30:00.000;12941;53.44;53.44
2014-04-05 00:00:00.000;12941;52.88;52.88
2014-04-05 00:30:00.000;12941;37.04;37.04
2014-04-05 01:00:00.000;12941;35.68;35.68
2014-04-05 01:30:00.000;12941;35.68;35.68
2014-04-05 02:00:00.000;12941;35.84;35.84
2014-04-05 02:30:00.000;12941;35.76;35.76
2014-04-05 03:00:00.000;12941;35.92;35.92
2014-04-05 03:30:00.000;12941;35.84;35.84
2014-04-05 04:00:00.000;12941;35.68;35.68
2014-04-05 04:30:00.000;12941;35.76;35.76
2014-04-05 05:00:00.000;12941;35.44;35.44
2014-04-05 05:30:00.000;12941;35.6;35.6
2014-04-05 06:00:00.000;12941;35.52;35.52
2014-04-05 06:30:00.000;12941;35.52;35.52
2014-04-05 07:00:00.000;12941;35.44;35.44
2014-04-05 07:30:00.000;12941;35.92;35.92
2014-04-05 08:00:00.000;12941;36.56;36.56
2014-04-05 08:30:00.000;12941;36.48;36.48
2014-04-05 09:00:00.000;12941;36.24;36.24
2014-04-05 09:30:00.000;12941;36.64;36.64
2014-04-05 10:00:00.000;12941;36.96;36.96
2014-04-05 10:30:00.000;12941;36.88;36.88
2014-04-05 11:00:00.000;12941;36.72;36.72
2014-04-05 11:30:00.000;12941;46.96;46.96
2014-04-05 12:00:00.000;12941;53.6;53.6
2014-04-05 12:30:00.000;12941;53.84;53.84
2014-04-05 13:00:00.000;12941;53.68;53.68
2014-04-05 13:30:00.000;12941;53.92;53.92
2014-04-05 14:00:00.000;12941;54;54
2014-04-05 14:30:00.000;12941;54;54
2014-04-05 15:00:00.000;12941;53.52;53.52
2014-04-05 15:30:00.000;12941;52.88;52.88
2014-04-05 16:00:00.000;12941;53.04;53.04
2014-04-05 16:30:00.000;12941;46.56;46.56
2014-04-05 17:00:00.000;12941;36.4;36.4
2014-04-05 17:30:00.000;12941;36.64;36.64
2014-04-05 18:00:00.000;12941;36.24;36.24
2014-04-05 18:30:00.000;12941;36.4;36.4
2014-04-05 19:00:00.000;12941;40.8;40.8
2014-04-05 19:30:00.000;12941;53.04;53.04
2014-04-05 20:00:00.000;12941;52.48;52.48
2014-04-05 20:30:00.000;12941;52.96;52.96
2014-04-05 21:00:00.000;12941;52.96;52.96
2014-04-05 21:30:00.000;12941;52.88;52.88
2014-04-05 22:00:00.000;12941;52.96;52.96
2014-04-05 22:30:00.000;12941;53.36;53.36
2014-04-05 23:00:00.000;12941;53.6;53.6
2014-04-05 23:30:00.000;12941;53.28;53.28
2014-04-06 00:00:00.000;12941;50.24;50.24
2014-04-06 00:30:00.000;12941;35.28;35.28
2014-04-06 01:00:00.000;12941;35.28;35.28
2014-04-06 01:30:00.000;12941;35.36;35.36
2014-04-06 02:00:00.000;12941;35.36;35.36
2014-04-06 02:30:00.000;12941;35.6;35.6
2014-04-06 03:00:00.000;12941;35.76;35.76
2014-04-06 03:30:00.000;12941;35.6;35.6
2014-04-06 04:00:00.000;12941;35.36;35.36
2014-04-06 04:30:00.000;12941;35.44;35.44
2014-04-06 05:00:00.000;12941;35.44;35.44
2014-04-06 05:30:00.000;12941;35.44;35.44
2014-04-06 06:00:00.000;12941;35.6;35.6
2014-04-06 06:30:00.000;12941;35.68;35.68
2014-04-06 07:00:00.000;12941;36;36
2014-04-06 07:30:00.000;12941;36.16;36.16
2014-04-06 08:00:00.000;12941;36.88;36.88
2014-04-06 08:30:00.000;12941;36.72;36.72
2014-04-06 09:00:00.000;12941;36.72;36.72
2014-04-06 09:30:00.000;12941;36;36
2014-04-06 10:00:00.000;12941;36.56;36.56
2014-04-06 10:30:00.000;12941;36.16;36.16
2014-04-06 11:00:00.000;12941;35.6;35.6
2014-04-06 11:30:00.000;12941;35.68;35.68
2014-04-06 12:00:00.000;12941;36.08;36.08
2014-04-06 12:30:00.000;12941;52.56;52.56
2014-04-06 13:00:00.000;12941;53.04;53.04
2014-04-06 13:30:00.000;12941;52.72;52.72
2014-04-06 14:00:00.000;12941;52.88;52.88
2014-04-06 14:30:00.000;12941;52.8;52.8
2014-04-06 15:00:00.000;12941;52.88;52.88
2014-04-06 15:30:00.000;12941;52.88;52.88
2014-04-06 16:00:00.000;12941;52.96;52.96
2014-04-06 16:30:00.000;12941;52.96;52.96
2014-04-06 17:00:00.000;12941;51.36;51.36
2014-04-06 17:30:00.000;12941;36.32;36.32
2014-04-06 18:00:00.000;12941;36.08;36.08
2014-04-06 18:30:00.000;12941;36.24;36.24
2014-04-06 19:00:00.000;12941;36.56;36.56
2014-04-06 19:30:00.000;12941;48.48;48.48
2014-04-06 20:00:00.000;12941;53.04;53.04
2014-04-06 20:30:00.000;12941;52.32;52.32
2014-04-06 21:00:00.000;12941;52.4;52.4
2014-04-06 21:30:00.000;12941;52.48;52.48
2014-04-06 22:00:00.000;12941;52.4;52.4
2014-04-06 22:30:00.000;12941;52.72;52.72
2014-04-06 23:00:00.000;12941;53.12;53.12
2014-04-06 23:30:00.000;12941;52.96;52.96
2014-04-07 00:00:00.000;12941;51.52;51.52
2014-04-07 00:30:00.000;12941;51.6;51.6
2014-04-07 01:00:00.000;12941;40.56;40.56
2014-04-07 01:30:00.000;12941;35.36;35.36
2014-04-07 02:00:00.000;12941;35.6;35.6
2014-04-07 02:30:00.000;12941;35.36;35.36
2014-04-07 03:00:00.000;12941;35.6;35.6
2014-04-07 03:30:00.000;12941;35.28;35.28
2014-04-07 04:00:00.000;12941;35.52;35.52
2014-04-07 04:30:00.000;12941;35.2;35.2
2014-04-07 05:00:00.000;12941;35.28;35.28
2014-04-07 05:30:00.000;12941;35.04;35.04
2014-04-07 06:00:00.000;12941;35.12;35.12
2014-04-07 06:30:00.000;12941;35.12;35.12
2014-04-07 07:00:00.000;12941;35.2;35.2
2014-04-07 07:30:00.000;12941;35.12;35.12
2014-04-07 08:00:00.000;12941;35.92;35.92
2014-04-07 08:30:00.000;12941;36.24;36.24
2014-04-07 09:00:00.000;12941;37.04;37.04
2014-04-07 09:30:00.000;12941;36.48;36.48
2014-04-07 10:00:00.000;12941;48.64;48.64
2014-04-07 10:30:00.000;12941;53.12;53.12
2014-04-07 11:00:00.000;12941;53.12;53.12
2014-04-07 11:30:00.000;12941;53.28;53.28
2014-04-07 12:00:00.000;12941;53.36;53.36
2014-04-07 12:30:00.000;12941;53.28;53.28
2014-04-07 13:00:00.000;12941;53.44;53.44
2014-04-07 13:30:00.000;12941;53.36;53.36
2014-04-07 14:00:00.000;12941;50.88;50.88
2014-04-07 14:30:00.000;12941;36.56;36.56
2014-04-07 15:00:00.000;12941;36.72;36.72
2014-04-07 15:30:00.000;12941;36.48;36.48
2014-04-07 16:00:00.000;12941;36.24;36.24
2014-04-07 16:30:00.000;12941;36.32;36.32
2014-04-07 17:00:00.000;12941;36.48;36.48
2014-04-07 17:30:00.000;12941;52.64;52.64
2014-04-07 18:00:00.000;12941;53.12;53.12
2014-04-07 18:30:00.000;12941;53.12;53.12
2014-04-07 19:00:00.000;12941;53.44;53.44
2014-04-07 19:30:00.000;12941;53.12;53.12
2014-04-07 20:00:00.000;12941;53.28;53.28
2014-04-07 20:30:00.000;12941;53.36;53.36
2014-04-07 21:00:00.000;12941;53.28;53.28
2014-04-07 21:30:00.000;12941;53.52;53.52
2014-04-07 22:00:00.000;12941;53.52;53.52
2014-04-07 22:30:00.000;12941;53.04;53.04
2014-04-07 23:00:00.000;12941;53.44;53.44
2014-04-07 23:30:00.000;12941;53.52;53.52
2014-04-08 00:00:00.000;12941;52.16;52.16
2014-04-08 00:30:00.000;12941;41.04;41.04
2014-04-08 01:00:00.000;12941;35.6;35.6
2014-04-08 01:30:00.000;12941;35.28;35.28
2014-04-08 02:00:00.000;12941;35.44;35.44
2014-04-08 02:30:00.000;12941;36;36
2014-04-08 03:00:00.000;12941;35.76;35.76
2014-04-08 03:30:00.000;12941;35.6;35.6
